date,series1,a1,b1,c1,series2,a2,b2,c2
2012/01,0.5,0.080853266,4.27,6.11,4.76,0.72,13.7,22.42
2012/02,0.4,0.000875427,4.09,6.21,4.81,0.65,14.03,22.33
2012/03,0.5,0.029681047,3.49,6.53,5.02,0.52,14.45,21.82
2012/04,0.4,0.099251683,3.49,6.53,5.02,0.52,14.45,21.82
2012/05,0.5,0.023410328,3.49,6.53,5.02,0.52,14.45,21.82
2012/06,0.4,0.02171209,3.96,6.12,4.61,0.57,14.34,32.63
2012/07,0.5,0.068389536,3.64,6.61,3.9,0.66,14.3,31.83
2012/08,0.4,0.080908276,3.52,4.85,5.15,0.52,16.18,31.16
2012/09,0.5,0.05746426,3.88,3.97,5.22,0.57,16.34,31.72
2012/10,0.4,0.034776429,4.17,4.48,5.39,0.51,15.48,31.46
2012/11,0.5,0.043526327,4.54,4.74,5.32,0.53,15.98,30.28
2012/12,0.4,0.000100249,3.75,6.07,5.08,0.52,15.31,30.93
2013/01,0.5,0.02048689,4.31,4.71,5.02,0.48,16.61,19.73
2013/02,0.4,0.078750861,3.93,4.81,5.82,0.42,18.12,18.72
